img,id,rep,leafNum,morphotype,pheno
B_oleracea001_A_0_p0_mask.jpg,1,A,2,palmifolia,leafy
B_oleracea001_A_1_p1_mask.jpg,1,A,3,palmifolia,leafy
B_oleracea001_A_2_p2_mask.jpg,1,A,4,palmifolia,leafy
B_oleracea001_B_0_p0_mask.jpg,1,B,2,palmifolia,leafy
B_oleracea001_B_1_p1_mask.jpg,1,B,3,palmifolia,leafy
B_oleracea001_B_2_p2_mask.jpg,1,B,4,palmifolia,leafy
B_oleracea001_C_0_p0_mask.jpg,1,C,2,palmifolia,leafy
B_oleracea001_C_1_p1_mask.jpg,1,C,3,palmifolia,leafy
B_oleracea001_C_2_p2_mask.jpg,1,C,4,palmifolia,leafy
B_oleracea001_D_0_p0_mask.jpg,1,D,2,palmifolia,leafy
B_oleracea001_D_1_p1_mask.jpg,1,D,3,palmifolia,leafy
B_oleracea001_D_2_p2_mask.jpg,1,D,4,palmifolia,leafy
B_oleracea002_A_0_p0_mask.jpg,2,A,2,palmifolia,leafy
B_oleracea002_A_1_p1_mask.jpg,2,A,3,palmifolia,leafy
B_oleracea002_A_2_p2_mask.jpg,2,A,4,palmifolia,leafy
B_oleracea002_B_0_p0_mask.jpg,2,B,2,palmifolia,leafy
B_oleracea002_B_1_p1_mask.jpg,2,B,3,palmifolia,leafy
B_oleracea002_B_2_p2_mask.jpg,2,B,4,palmifolia,leafy
B_oleracea002_C_0_p0_mask.jpg,2,C,2,palmifolia,leafy
B_oleracea002_C_1_p1_mask.jpg,2,C,3,palmifolia,leafy
B_oleracea002_C_2_p2_mask.jpg,2,C,4,palmifolia,leafy
B_oleracea002_D_0_p0_mask.jpg,2,D,2,palmifolia,leafy
B_oleracea002_D_1_p1_mask.jpg,2,D,3,palmifolia,leafy
B_oleracea002_D_2_p2_mask.jpg,2,D,4,palmifolia,leafy
B_oleracea003_A_0_p0_mask.jpg,3,A,2,palmifolia,leafy
B_oleracea003_A_1_p1_mask.jpg,3,A,3,palmifolia,leafy
B_oleracea003_A_2_p2_mask.jpg,3,A,4,palmifolia,leafy
B_oleracea003_B_0_p0_mask.jpg,3,B,2,palmifolia,leafy
B_oleracea003_B_1_p1_mask.jpg,3,B,3,palmifolia,leafy
B_oleracea003_B_2_p2_mask.jpg,3,B,4,palmifolia,leafy
B_oleracea003_C_0_p0_mask.jpg,3,C,2,palmifolia,leafy
B_oleracea003_C_1_p1_mask.jpg,3,C,3,palmifolia,leafy
B_oleracea003_C_2_p2_mask.jpg,3,C,4,palmifolia,leafy
B_oleracea003_D_0_p0_mask.jpg,3,D,2,palmifolia,leafy
B_oleracea003_D_1_p1_mask.jpg,3,D,3,palmifolia,leafy
B_oleracea003_D_2_p2_mask.jpg,3,D,4,palmifolia,leafy
B_oleracea004_A_0_p0_mask.jpg,4,A,2,palmifolia,leafy
